"unigram","bigram","trigram","quadgram","freq"
"ð<U+009F><U+0098><U+0084>","cuz","itz","skinny",5
"marshall","ð<U+009F><U+0098><U+0084>","cuz","itz",5
"virginia","marshall","ð<U+009F><U+0098><U+0084>","cuz",5
"west","virginia","marshall","ð<U+009F><U+0098><U+0084>",5
"crap","west","virginia","marshall",4
"cuz","itz","skinny","ppl",4
"talking","crap","west","virginia",4
"address","serving","”","interesting",2
"amazon","services","llc","amazon",2
"andy","”","andy","needs",2
"awareness","appreciation","earth’s","natural",2
"cuz","itz","skinny","p",2
"ð<U+009F><U+0098><U+0083>","veryone","talking","crap",2
"destinations","northern","central","india",2
"don’t","clean","plate","cant",2
"easy","today","kick","back",2
"email","nathanonearth","g","mail",2
"ever","im","disappointed","ghetto",2
"ever","seen","girl","say",2
"expensive","fees","join","us",2
"favorite","science","fiction","movie",2
"first","time","ever","seen",2
"food","wastersyou","don’t","clean",2
"game","platform","hired","<U+0096>",2
"get","rouuughh","asdghjkl","love",2
"gonna","take","easy","today",2
"half","time","want","knock",2
"happy","mothers","day","best",2
"im","just","gonna","take",2
"increase","awareness","appreciation","earth’s",2
"interested","start","peoplere","interested",2
"just","gonna","take","easy",2
"kick","back","relax","springbreak",2
"level","mp","cost","damage",2
"lime","bitters","soda","water",2
"living","life","awakened","state",2
"looks","like","im","going",2
"looped","dixieland","lounge","music",2
"matt","hunter","matt","hunter",2
"meetings","expensive","fees","join",2
"month","reading","digital","titles",2
"mothers","day","best","mom",2
"nathanonearth","g","mail","dot",2
"orange","one","red","one",2
"peoplere","interested","start","peoplere",2
"policy","food","wastersyou","don’t",2
"red","one","orange","one",2
"rouuughh","asdghjkl","love","austin",2
"said","“","way”","said",2
"seat","automatically","slides","way",2
"services","llc","amazon","eu",2
"shit","ever","im","disappointed",2
"skies","get","rouuughh","asdghjkl",2
"take","easy","today","kick",2
"time","ever","seen","girl",2
"time","want","knock","shit",2
"today","kick","back","relax",2
"tolerance","policy","food","wastersyou",2
"tourist","destinations","northern","central",2
"university","chicago","chicago","illinois",2
"us","ð<U+009F><U+0098><U+0083>","veryone","talking",2
"veryone","talking","crap","west",2
"wastersyou","don’t","clean","plate",2
"weekly","meetings","expensive","fees",2
"worst","shit","ever","im",2
"zero","tolerance","policy","food",2
