"unigram","bigram","trigram","freq"
"called","best","friend",6
"cant","wait","see",6
"cuz","itz","skinny",6
"happy","mothers","day",6
"ð<U+009F><U+0098><U+0084>","cuz","itz",5
"let","us","know",5
"marshall","ð<U+009F><U+0098><U+0084>","cuz",5
"samsung","cellular","phones",5
"virginia","marshall","ð<U+009F><U+0098><U+0084>",5
"west","virginia","marshall",5
"cant","wait","till",4
"crap","west","virginia",4
"itz","skinny","ppl",4
"talking","crap","west",4
"cinco","de","mayo",3
"dont","even","know",3
"happy","new","year",3
"im","just","gonna",3
"let","know","can",3
"level","mp","cost",3
"looking","forward","seeing",3
"make","sure","check",3
"new","york","times",3
"northern","central","india",3
"one","last","time",3
"preheat","oven","degrees",3
"well","can","still",3
"year","old","girl",3
"“","way”","said",2
"”","andy","needs",2
"address","serving","”",2
"ago","far","can",2
"amazon","services","llc",2
"andy","”","andy",2
"appreciation","earth’s","natural",2
"asdghjkl","love","austin",2
"automatically","slides","way",2
"awareness","appreciation","earth’s",2
"back","relax","springbreak",2
"bad","things","happen",2
"bake","degree","oven",2
"bitters","soda","water",2
"blah","blah","blah",2
"body","interpret","music",2
"boston","beer","company",2
"bowling","playing","pool",2
"can","borrow","books",2
"can","work","together",2
"cant","get","enough",2
"car","rental","companies",2
"caroling","uh","caroling",2
"cellular","phones","plus",2
"chicago","chicago","illinois",2
"clean","plate","cant",2
"color","can","see",2
"completely","blown","away",2
"ð<U+009F><U+0098><U+0083>","veryone","talking",2
"dates","announced","soon",2
"day","best","mom",2
"defence","budget","continues",2
"destinations","northern","central",2
"dixieland","lounge","music",2
"doesnt","take","much",2
"don’t","clean","plate",2
"dont","think","can",2
"dont","waste","time",2
"easy","today","kick",2
"email","address","can",2
"email","nathanonearth","g",2
"even","though","havent",2
"ever","im","disappointed",2
"ever","seen","girl",2
"expensive","fees","join",2
"favorite","bible","verse",2
"favorite","science","fiction",2
"fees","join","us",2
"first","filmfare","best",2
"first","time","ever",2
"first","time","since",2
"fixes","long","term",2
"food","wastersyou","don’t",2
"four","current","former",2
"full","board","meeting",2
"funny","can","see",2
"g","mail","dot",2
"game","lets","go",2
"game","platform","hired",2
"get","back","business",2
"get","rouuughh","asdghjkl",2
"get","worried","get",2
"go","facebook","page",2
"gonna","take","easy",2
"good","morning","love",2
"got","go","got",2
"grateful","dead","tracks",2
"guess","good","day",2
"haha","thats","awesome",2
"half","time","want",2
"happy","birthday","d",2
"happy","easter","everyone",2
"happy","th","birthday",2
"hard","time","keeping",2
"hard","work","see",2
"hey","guys","can",2
"hope","can","work",2
"hope","great","week",2
"hope","see","soon",2
"hunter","matt","hunter",2
"ice","cream","cake",2
"ice","cream","social",2
"im","disappointed","ghetto",2
"im","glad","finally",2
"im","going","bed",2
"im","trying","get",2
"increase","awareness","appreciation",2
"interested","start","peoplere",2
"itz","skinny","p",2
"ive","always","wanted",2
"ive","ever","seen",2
"juno","beach","centre",2
"just","another","day",2
"just","around","corner",2
"just","gonna","take",2
"just","wanna","go",2
"keep","good","work",2
"kick","back","relax",2
"know","many","people",2
"known","dwayne","johnson",2
"ladies","night","special",2
"last","day","school",2
"lauren","lauren","lauren",2
"lemon","bundt","cake",2
"life","awakened","state",2
"life","right","now",2
"like","im","going",2
"lime","bitters","soda",2
"living","life","awakened",2
"llc","amazon","eu",2
"look","back","see",2
"looks","great","just",2
"looks","like","im",2
"looks","like","might",2
"looped","dixieland","lounge",2
"lord","jesus","christ",2
"love","love","love",2
"many","young","people",2
"matt","hunter","matt",2
"medium","full","body",2
"medium","high","heat",2
"meetings","expensive","fees",2
"month","reading","digital",2
"mothers","day","best",2
"mp","cost","damage",2
"much","just","want",2
"much","time","spent",2
"nathanonearth","g","mail",2
"nearly","upon","us",2
"never","let","go",2
"new","years","eve",2
"new","years","resolution",2
"new","york","city",2
"nine","year","old",2
"oil","gas","assets",2
"one","orange","one",2
"one","red","one",2
"orange","one","red",2
"osama","bin","laden",2
"parking","lot","two",2
"people","dont","want",2
"peoplere","interested","start",2
"platform","hired","<U+0096>",2
"please","give","shout",2
"policy","food","wastersyou",2
"primary","goal","’ll",2
"privately","inked","tattooing",2
"reading","digital","titles",2
"real","estate","agent",2
"record","store","day",2
"red","one","orange",2
"right","now","im",2
"rouuughh","asdghjkl","love",2
"said","“","way”",2
"say","something","like",2
"science","fiction","movie",2
"seat","automatically","slides",2
"seen","girl","say",2
"services","llc","amazon",2
"serving","”","interesting",2
"shit","ever","im",2
"skies","get","rouuughh",2
"smoothly","something","happens",2
"sold","decreased","average",2
"something","like","happens",2
"sonic","ice","cream",2
"starfire","angels","series",2
"start","peoplere","interested",2
"take","easy","today",2
"take","responsibility","actions",2
"thank","u","much",2
"theres","one","thing",2
"theres","still","time",2
"think","im","getting",2
"three","years","ago",2
"till","tomorrow","can",2
"time","ever","seen",2
"time","want","knock",2
"today","kick","back",2
"tolerance","policy","food",2
"tourist","destinations","northern",2
"twitter","right","now",2
"two","dots","o",2
"two","half","years",2
"u","want","life",2
"university","chicago","chicago",2
"us","ð<U+009F><U+0098><U+0083>","veryone",2
"veryone","talking","crap",2
"vuorg","calendar","html",2
"wait","last","minute",2
"walking","parking","lot",2
"want","knock","shit",2
"wastersyou","don’t","clean",2
"weekly","meetings","expensive",2
"will","always","remember",2
"will","come","home",2
"will","get","back",2
"will","get","better",2
"will","report","back",2
"worst","shit","ever",2
"wow","just","heard",2
"year","old","kenneth",2
"year","old","son",2
"years","ago","one",2
"young","men","women",2
"zero","tolerance","policy",2
